Domestic Exports | Annual + Year-To-Date Data from Jan - Sep,,,,,,,,
Data Row Count,291,,,,,,,
Data Type,Country,HTS Number,Description,Year 2021,Year 2022,Year 2023,2023 YTD ( Jan - Sep ),2024 YTD ( Jan - Sep )
FAS Value,China,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING STOCK, TRACK FIXTURES AND FITTINGS, AND PARTS THEREOF; MECHANICAL ETC. TRAFFIC SIGNAL EQUIPMENT OF ALL KINDS","54,709,218","40,452,726","37,452,230","27,266,217","33,934,109"
FAS Value,China,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PRODUCTS OF ANIMAL ORIGIN, NESOI","489,139,187","533,026,685","346,030,869","265,459,084","221,770,843"
FAS Value,Mexico,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING STOCK, TRACK FIXTURES AND FITTINGS, AND PARTS THEREOF; MECHANICAL ETC. TRAFFIC SIGNAL EQUIPMENT OF ALL KINDS","711,971,585","1,067,226,862","1,063,277,240","795,108,810","910,374,466"
FAS Value,China,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; BAKERS' WARES","40,878,509","34,257,329","38,218,393","30,810,789","22,151,491"
FAS Value,Mexico,55,"MANMADE STAPLE FIBERS, INCLUDING YARNS AND WOVEN FABRICS THEREOF","354,236,663","382,399,949","324,866,487","254,548,362","261,906,740"
FAS Value,China,08,EDIBLE FRUIT AND NUTS; PEEL OF CITRUS FRUIT OR MELONS,"1,003,700,224","693,166,031","1,115,634,928","457,996,429","475,915,264"
FAS Value,Mexico,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CROCHETED","325,133,531","311,498,071","293,570,580","245,791,675","213,169,934"
FAS Value,China,73,ARTICLES OF IRON OR STEEL,"647,241,561","597,326,423","599,906,739","406,993,224","460,710,558"
FAS Value,Canada,81,BASE METALS NESOI; CERMETS; ARTICLES THEREOF,"217,116,688","254,692,839","248,328,094","189,873,188","185,225,602"
FAS Value,China,67,PREPARED FEATHERS AND DOWN AND ARTICLES THEREOF; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR,"4,275,138","4,239,027","3,891,903","3,526,357","3,006,122"
FAS Value,China,43,FURSKINS AND ARTIFICIAL FUR; MANUFACTURES THEREOF,"3,343,969","578,299","720,415","626,697","829,148"
FAS Value,Canada,67,PREPARED FEATHERS AND DOWN AND ARTICLES THEREOF; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR,"31,556,502","34,942,023","29,317,329","23,197,675","23,157,213"
FAS Value,Mexico,26,"ORES, SLAG AND ASH","1,060,324,162","1,188,373,143","1,606,979,106","1,263,063,659","1,311,741,255"
FAS Value,China,25,"SALT; SULFUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT","290,324,066","319,744,133","455,174,311","302,501,835","515,727,102"
FAS Value,China,51,"WOOL AND FINE OR COARSE ANIMAL HAIR, INCLUDING YARNS AND WOVEN FABRICS THEREOF; HORSEHAIR YARN AND WOVEN FABRIC","10,237,137","9,247,313","8,017,662","6,237,951","10,652,162"
FAS Value,Mexico,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING, CHECKING, PRECISION, MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; PARTS AND ACCESSORIES THEREOF","4,637,363,560","5,318,852,186","6,096,761,202","4,526,596,862","4,948,364,206"
