Trade Balance | Annual + Year-To-Date Data from Jan - Sep,,,,,,,,
Data Row Count,294,,,,,,,
Data Type,Country,HTS Number,Description,Year 2021,Year 2022,Year 2023,2023 YTD ( Jan - Sep ),2024 YTD ( Jan - Sep )
Dom. Exports FAS-Imports for Consumption Value,Canada,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OF RADIOACTIVE ELEMENTS OR OF ISOTOPES","-1,218,535,040","-1,979,467,762","-2,035,272,521","-1,449,538,991","-2,251,740,756"
Dom. Exports FAS-Imports for Consumption Value,Canada,08,EDIBLE FRUIT AND NUTS; PEEL OF CITRUS FRUIT OR MELONS,"1,858,405,471","1,707,523,974","1,658,450,382","1,291,562,421","1,375,601,163"
Dom. Exports FAS-Imports for Consumption Value,Mexico,69,CERAMIC PRODUCTS,"-932,144,817","-906,558,474","-1,042,668,281","-793,388,197","-784,649,679"
Dom. Exports FAS-Imports for Consumption Value,Mexico,16,"EDIBLE PREPARATIONS OF MEAT, FISH, CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES","221,389,915","229,401,195","272,689,374","194,681,433","234,030,031"
Dom. Exports FAS-Imports for Consumption Value,Mexico,89,"SHIPS, BOATS AND FLOATING STRUCTURES","-410,597,616","-706,635,951","-629,390,830","-514,894,687","-381,053,212"
Dom. Exports FAS-Imports for Consumption Value,Mexico,70,GLASS AND GLASSWARE,"-924,540,834","-1,125,604,040","-991,695,369","-799,739,932","-691,470,904"
Dom. Exports FAS-Imports for Consumption Value,China,71,"NATURAL OR CULTURED PEARLS, PRECIOUS OR SEMIPRECIOUS STONES, PRECIOUS METALS; PRECIOUS METAL CLAD METALS, ARTICLES THEREOF; IMITATION JEWELRY; COIN","-1,173,308,929","-1,289,664,985","-538,208,740","-383,736,003","-867,996,195"
Dom. Exports FAS-Imports for Consumption Value,China,55,"MANMADE STAPLE FIBERS, INCLUDING YARNS AND WOVEN FABRICS THEREOF","-159,736,784","-133,915,844","-75,415,466","-61,892,164","-56,473,464"
Dom. Exports FAS-Imports for Consumption Value,China,18,COCOA AND COCOA PREPARATIONS,"14,651,482","1,511,608","9,958,307","8,126,077","17,356,674"
Dom. Exports FAS-Imports for Consumption Value,China,22,"BEVERAGES, SPIRITS AND VINEGAR","224,023,650","42,128,954","26,006,527","23,067,529","46,656,318"
Dom. Exports FAS-Imports for Consumption Value,Mexico,93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF,"-59,051,673","-49,055,427","5,513,834","-709,410","5,113,647"
Dom. Exports FAS-Imports for Consumption Value,Canada,13,LAC; GUMS; RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS,"44,225,194","43,616,658","37,145,237","27,211,017","36,629,832"
Dom. Exports FAS-Imports for Consumption Value,China,29,ORGANIC CHEMICALS,"-6,928,522,088","-9,232,447,715","-3,682,622,105","-2,827,716,886","-3,298,930,801"
Dom. Exports FAS-Imports for Consumption Value,Mexico,95,"TOYS, GAMES AND SPORTS EQUIPMENT; PARTS AND ACCESSORIES THEREOF","-890,832,174","-997,658,750","-1,003,251,607","-746,980,326","-848,201,740"
Dom. Exports FAS-Imports for Consumption Value,Canada,73,ARTICLES OF IRON OR STEEL,"985,783,608","829,190,210","596,991,582","481,180,504","406,358,492"
Dom. Exports FAS-Imports for Consumption Value,Mexico,21,MISCELLANEOUS EDIBLE PREPARATIONS,"683,991,824","619,758,256","575,173,854","439,381,839","474,479,416"
Dom. Exports FAS-Imports for Consumption Value,China,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS","-152,197,489","-208,642,413","-255,665,267","-160,232,369","-257,753,898"
Dom. Exports FAS-Imports for Consumption Value,China,34,"SOAP ETC.; LUBRICATING PRODUCTS; WAXES, POLISHING OR SCOURING PRODUCTS; CANDLES ETC., MODELING PASTES; DENTAL WAXES AND DENTAL PLASTER PREPARATIONS","14,779,198","-34,252,427","-86,860,943","-46,935,385","-108,047,368"
Dom. Exports FAS-Imports for Consumption Value,China,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CROCHETED","-12,110,524,864","-12,551,166,571","-9,459,482,814","-7,208,352,558","-7,374,136,890"
Dom. Exports FAS-Imports for Consumption Value,Canada,94,"FURNITURE; BEDDING, CUSHIONS ETC.; LAMPS AND LIGHTING FITTINGS NESOI; ILLUMINATED SIGNS, NAMEPLATES AND THE LIKE; PREFABRICATED BUILDINGS","-1,120,789,875","-1,772,616,582","-1,784,620,634","-1,372,853,683","-1,189,712,818"
Dom. Exports FAS-Imports for Consumption Value,Canada,97,"WORKS OF ART, COLLECTORS' PIECES AND ANTIQUES","11,774,577","6,057,900","-50,613,732","-42,609,099","-26,591,200"
Dom. Exports FAS-Imports for Consumption Value,China,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,"168,839,509","-76,874,578","119,417,964","131,720,261","164,817,551"
Dom. Exports FAS-Imports for Consumption Value,China,93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF,"-295,416,519","-214,831,846","-163,580,962","-128,975,831","-129,812,278"
Dom. Exports FAS-Imports for Consumption Value,Mexico,13,LAC; GUMS; RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS,"124,829","-8,288,291","-7,925,043","-3,351,166","-2,226,683"
Dom. Exports FAS-Imports for Consumption Value,Mexico,14,"VEGETABLE PLAITING MATERIALS AND VEGETABLE PRODUCTS, NESOI","-64,124,583","-57,142,220","-62,070,637","-34,514,254","-59,461,124"
Dom. Exports FAS-Imports for Consumption Value,China,13,LAC; GUMS; RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS,"-274,716,442","-291,604,479","-241,283,949","-183,454,038","-221,853,078"
Dom. Exports FAS-Imports for Consumption Value,Canada,55,"MANMADE STAPLE FIBERS, INCLUDING YARNS AND WOVEN FABRICS THEREOF","108,877,749","109,989,933","95,419,244","71,477,742","70,577,040"
Dom. Exports FAS-Imports for Consumption Value,Mexico,81,BASE METALS NESOI; CERMETS; ARTICLES THEREOF,"89,827,370","99,678,708","119,431,478","90,590,753","111,004,335"
Dom. Exports FAS-Imports for Consumption Value,Mexico,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PREPARED EDIBLE FATS; ANIMAL OR VEGETABLE WAXES,"495,676,187","278,231,853","-4,725,366","-13,204,345","-163,384,415"
Dom. Exports FAS-Imports for Consumption Value,Canada,40,RUBBER AND ARTICLES THEREOF,"377,502,153","509,802,220","539,884,987","444,306,458","239,737,701"
Dom. Exports FAS-Imports for Consumption Value,Mexico,22,"BEVERAGES, SPIRITS AND VINEGAR","-9,053,899,443","-10,910,043,267","-10,997,194,017","-8,263,891,708","-9,431,963,332"
Dom. Exports FAS-Imports for Consumption Value,Mexico,79,ZINC AND ARTICLES THEREOF,"-194,978,830","-252,518,835","-143,749,917","-116,830,112","-104,755,726"
Dom. Exports FAS-Imports for Consumption Value,China,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES,"1,164,736","-72,589,844","-32,325,412","-15,296,859","-1,344,286"
Dom. Exports FAS-Imports for Consumption Value,Canada,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS,"411,704,791","408,905,160","405,734,218","298,657,016","300,298,234"
Dom. Exports FAS-Imports for Consumption Value,Mexico,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS,"-7,628,600,776","-8,137,065,522","-8,533,770,531","-6,619,584,313","-6,841,589,161"
Dom. Exports FAS-Imports for Consumption Value,Mexico,73,ARTICLES OF IRON OR STEEL,"-1,446,224,852","-2,207,639,097","-1,529,219,587","-1,273,698,368","-602,260,944"
Dom. Exports FAS-Imports for Consumption Value,Mexico,56,"WADDING, FELT AND NONWOVENS; SPECIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF","533,801,314","414,522,767","489,130,920","353,259,269","376,176,950"
Dom. Exports FAS-Imports for Consumption Value,China,53,VEGETABLE TEXTILE FIBERS NESOI; YARNS AND WOVEN FABRICS OF VEGETABLE TEXTILE FIBERS NESOI AND PAPER,"-23,524,653","-24,546,572","-15,369,182","-11,564,107","-10,202,325"
Dom. Exports FAS-Imports for Consumption Value,Canada,48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, PAPER OR PAPERBOARD","-895,980,422","-1,167,913,995","-1,098,906,857","-824,777,814","-693,523,348"
Dom. Exports FAS-Imports for Consumption Value,China,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OF RADIOACTIVE ELEMENTS OR OF ISOTOPES","43,200,550","-484,732,485","-383,591,764","-87,259,661","-427,457,512"
Dom. Exports FAS-Imports for Consumption Value,Mexico,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS, RIDING-CROPS AND PARTS THEREOF","-483,560","786,288","1,968,580","1,214,665","-107,123"
