Imports For Consumption | Annual + Year-To-Date Data from Jan - Sep,,,,,,,,
Data Row Count,294,,,,,,,
Data Type,Country,HTS Number,Description,Year 2021,Year 2022,Year 2023,2023 YTD ( Jan - Sep ),2024 YTD ( Jan - Sep )
Customs Value,China,53,VEGETABLE TEXTILE FIBERS NESOI; YARNS AND WOVEN FABRICS OF VEGETABLE TEXTILE FIBERS NESOI AND PAPER,"23,569,321","24,707,508","15,580,677","11,642,820","10,308,305"
Customs Value,Mexico,71,"NATURAL OR CULTURED PEARLS, PRECIOUS OR SEMIPRECIOUS STONES, PRECIOUS METALS; PRECIOUS METAL CLAD METALS, ARTICLES THEREOF; IMITATION JEWELRY; COIN","6,056,072,013","5,178,153,152","5,515,461,726","4,029,006,512","4,075,541,259"
Customs Value,Canada,87,"VEHICLES, OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF","38,014,705,972","43,300,691,896","55,840,307,835","41,179,743,600","38,017,510,910"
Customs Value,Mexico,82,"TOOLS, IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL","643,688,903","604,370,977","633,247,480","486,688,208","505,160,798"
Customs Value,China,81,BASE METALS NESOI; CERMETS; ARTICLES THEREOF,"391,379,137","658,483,368","598,665,425","475,228,647","580,642,722"
Customs Value,China,50,"SILK, INCLUDING YARNS AND WOVEN FABRICS THEREOF","9,383,634","16,508,323","11,920,592","9,021,438","11,331,962"
Customs Value,China,98,"SPECIAL CLASSIFICATION PROVISIONS, NESOI","5,524,042,215","5,355,636,413","5,239,431,353","3,876,881,572","4,763,948,057"
Customs Value,China,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING STOCK, TRACK FIXTURES AND FITTINGS, AND PARTS THEREOF; MECHANICAL ETC. TRAFFIC SIGNAL EQUIPMENT OF ALL KINDS","819,850,834","1,399,606,829","863,873,655","735,077,885","503,020,583"
Customs Value,China,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PRODUCTS OF ANIMAL ORIGIN, NESOI","8,428,496","8,526,633","9,257,372","7,318,125","6,960,296"
Customs Value,Mexico,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING STOCK, TRACK FIXTURES AND FITTINGS, AND PARTS THEREOF; MECHANICAL ETC. TRAFFIC SIGNAL EQUIPMENT OF ALL KINDS","152,918,942","269,458,429","335,460,121","241,899,760","247,659,057"
Customs Value,China,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; BAKERS' WARES","207,484,470","242,717,143","222,933,628","168,458,767","179,700,336"
Customs Value,Mexico,55,"MANMADE STAPLE FIBERS, INCLUDING YARNS AND WOVEN FABRICS THEREOF","50,383,994","68,714,046","65,381,579","46,699,213","53,241,835"
Customs Value,China,08,EDIBLE FRUIT AND NUTS; PEEL OF CITRUS FRUIT OR MELONS,"142,837,579","176,416,881","120,462,032","86,061,371","87,597,773"
Customs Value,Mexico,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CROCHETED","1,055,261,863","1,143,372,780","1,042,865,877","805,674,956","744,940,819"
Customs Value,China,73,ARTICLES OF IRON OR STEEL,"13,540,926,628","14,164,935,841","10,604,794,999","7,867,234,393","8,833,816,358"
Customs Value,Canada,81,BASE METALS NESOI; CERMETS; ARTICLES THEREOF,"162,788,987","306,078,880","299,850,518","233,806,637","192,349,417"
Customs Value,China,67,PREPARED FEATHERS AND DOWN AND ARTICLES THEREOF; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR,"2,436,782,520","2,582,691,152","1,777,041,221","1,347,938,751","1,398,495,807"
Customs Value,China,43,FURSKINS AND ARTIFICIAL FUR; MANUFACTURES THEREOF,"24,183,904","23,481,590","14,190,377","10,589,185","11,877,760"
Customs Value,Canada,67,PREPARED FEATHERS AND DOWN AND ARTICLES THEREOF; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR,"9,781,397","10,532,848","6,786,085","5,459,479","3,835,270"
Customs Value,Mexico,26,"ORES, SLAG AND ASH","128,196,226","113,482,891","153,661,010","122,390,545","115,675,472"
Customs Value,China,25,"SALT; SULFUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT","307,814,995","522,545,259","331,683,372","270,489,213","249,819,810"
Customs Value,China,51,"WOOL AND FINE OR COARSE ANIMAL HAIR, INCLUDING YARNS AND WOVEN FABRICS THEREOF; HORSEHAIR YARN AND WOVEN FABRIC","7,544,809","5,804,833","3,469,966","2,858,405","2,608,254"
Customs Value,Mexico,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING, CHECKING, PRECISION, MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; PARTS AND ACCESSORIES THEREOF","16,891,206,346","18,628,624,540","22,311,033,240","16,619,097,053","17,283,407,617"
Customs Value,Canada,60,KNITTED OR CROCHETED FABRICS,"54,131,995","57,051,624","54,047,649","41,252,199","37,610,128"
Customs Value,Canada,74,COPPER AND ARTICLES THEREOF,"3,782,231,104","3,550,494,306","3,484,359,145","2,618,279,481","2,999,325,251"
Customs Value,Canada,29,ORGANIC CHEMICALS,"3,387,189,826","3,675,443,193","3,581,251,942","2,762,621,759","2,660,333,993"
Customs Value,Canada,30,PHARMACEUTICAL PRODUCTS,"5,028,236,710","5,491,820,470","5,698,358,216","4,482,170,277","4,223,333,932"
Customs Value,Mexico,06,"LIVE TREES AND OTHER PLANTS; BULBS, ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE","94,496,365","104,190,234","98,528,755","78,089,608","70,574,266"
Customs Value,Mexico,75,NICKEL AND ARTICLES THEREOF,"91,940,293","135,575,104","190,672,055","141,544,827","160,030,983"
Customs Value,Canada,31,FERTILIZERS,"3,654,122,466","5,921,317,263","4,412,161,645","3,452,998,791","2,847,222,177"
Customs Value,China,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS,"12,655,158","29,315,656","33,847,314","25,634,150","27,737,805"
Customs Value,Canada,34,"SOAP ETC.; LUBRICATING PRODUCTS; WAXES, POLISHING OR SCOURING PRODUCTS; CANDLES ETC., MODELING PASTES; DENTAL WAXES AND DENTAL PLASTER PREPARATIONS","925,583,993","993,687,077","1,038,093,345","755,376,495","835,594,674"
Customs Value,Mexico,78,LEAD AND ARTICLES THEREOF,"161,943,908","174,325,472","123,469,584","94,117,213","110,119,882"
Customs Value,Mexico,65,HEADGEAR AND PARTS THEREOF,"307,622,302","349,852,644","398,395,797","305,124,343","364,243,629"
Customs Value,China,80,TIN AND ARTICLES THEREOF,"74,977,951","18,530,282","12,229,794","9,422,350","8,380,259"
Customs Value,Canada,26,"ORES, SLAG AND ASH","556,968,130","513,974,379","527,725,212","418,057,736","306,195,571"
Customs Value,Mexico,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED","1,916,685,768","2,127,817,725","1,897,609,297","1,462,855,292","1,308,863,135"
Customs Value,Canada,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,"15,588,556","4,961,396","6,292,740","4,349,322","5,459,882"
Customs Value,Canada,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF","5,593,872,229","6,306,579,315","7,880,747,005","4,637,256,656","6,475,133,177"
Customs Value,Mexico,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES SUITABLE FOR INDUSTRIAL USE","364,209,435","362,853,910","430,046,551","319,743,731","358,916,515"
Customs Value,Canada,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES THEREOF,"47,542,393","43,252,518","41,635,450","31,255,704","34,597,081"
Customs Value,Mexico,40,RUBBER AND ARTICLES THEREOF,"3,318,882,482","3,961,065,978","4,528,054,871","3,374,155,558","3,526,040,691"
